id,title,authors,year,venue,search_strings
26,"Breast Cancer—Epidemiology, Risk Factors, Classification, Prognostic Markers, and Current Treatment Strategies—An Updated Review",Sergiusz Łukasiewicz; Marcin Czeczelewski; Alicja Forma; Jacek Baj; Robert Sitarz; Andrzej Stanisławek,2021,Cancers,String A
27,mRNA vaccines — a new era in vaccinology,Norbert Pardi; Michael J. Hogan; Frederick Porter; Drew Weissman,2018,Nature Reviews Drug Discovery,String A
28,Inferring the molecular and phenotypic impact of amino acid variants with MutPred2,Vikas Pejaver; Jorge Urresti; Jose Lugo-Martinez; Kymberleigh A. Pagel; Guan Ning Lin; Hyun-Jun Nam; Matthew Mort; D.N. Cooper; Jonathan Sebat; Lilia M. Iakoucheva; Sean D. Mooney; Predrag Radivojac,2020,Nature Communications,String A
29,Practical Mutation Testing at Scale,Goran Petrović; Marko Ivanković; Gordon Fraser; René Just,2021,arXiv (Cornell University),String A
30,Next-Gen Mutation Testing: Using AI and Fuzzing to Evolve Fault Injection for Modern Software,Gopinath Kathiresan,2025,SSRN Electronic Journal,String A
31,Subsumption in Mutation Testing: An Automated Model Based on Genetic Algorithm,Maria Cristina Tenório; Roberta Vilhena Vieira Lopes; Joseana Fechine; Társis Marinho; Evandro Costa,2019,Advances in intelligent systems and computing,String A
32,Coronavirus biology and replication: implications for SARS-CoV-2,Philip V’kovski; Annika Kratzel; Silvio Steiner; Hanspeter Stalder; Volker Thiel,2020,Nature Reviews Microbiology,String A
33,"Rht12b, a widely used ancient allele of TaGA2oxA13, reduces plant height and enhances yield potential in wheat",Yingjie Bian; Lingli Li; Xiuling Tian; Dengan Xu; Mengjing Sun; Faji Li; Lina Xie; Siyang Liu; Bingyan Liu; Xianchun Xia; Zhonghu He; Shuanghe Cao,2023,Theoretical and Applied Genetics,String A
34,Neoantigens: promising targets for cancer therapy,Na Xie; Guobo Shen; Wei Gao; Zhao Huang; Canhua Huang; Li Fu,2023,Signal Transduction and Targeted Therapy,String A
35,Challenges to curing primary brain tumours,Kenneth Aldape; Kevin M. Brindle; Louis Chesler; Rajesh Chopra; Amar Gajjar; Mark R. Gilbert; Nicholas G. Gottardo; David H. Gutmann; Darren Hargrave; Eric C. Holland; David Jones; Johanna A. Joyce; Pamela Kearns; Mark W. Kieran; Ingo K. Mellinghoff; Melinda S. Merchant; Stefan M. Pfister; Steven M. Pollard; Vijay Ramaswamy; Jeremy N. Rich; Giles Robinson; David H. Rowitch; John H. Sampson; Michael D. Taylor; Paul Workman; Richard J. Gilbertson,2019,Nature Reviews Clinical Oncology,String A
36,"Cancer chemotherapy and beyond: Current status, drug candidates, associated risks and progress in targeted therapeutics",Uttpal Anand; Abhijit Dey; Arvind K. Singh Chandel; Rupa Sanyal; Amarnath Mishra; Devendra Kumar Pandey; Valentina De Falco; Arun Upadhyay; Ramesh Kandimalla; Anupama Chaudhary; Jaspreet Kaur Dhanjal; Saikat Dewanjee; Jayalakshmi Vallamkondu; José Manuel Pérez de la Lastra,2022,Genes & Diseases,String A
37,Classification of COVID-19 patients from chest CT images using multi-objective differential evolution–based convolutional neural networks,Dilbag Singh; Vijay Kumar; Vaishali; Manjit Kaur,2020,European Journal of Clinical Microbiology & Infectious Diseases,String A
38,Artificial selection of the Green Revolution gene Semidwarf 1 is implicated in upland rice breeding,Shuliang Jiao; Qinyan Li; Fan Zhang; Yonghong Tao; Yingzhen Yu; Fan Yao; Qingmao Li; Fengyi Hu; Liyu Huang,2023,Journal of Integrative Agriculture,String A
39,The Applications of Radiomics in Precision Diagnosis and Treatment of Oncology: Opportunities and Challenges,Zhenyu Liu; Shuo Wang; Di Dong; Jingwei Wei; Cheng Fang; Xuezhi Zhou; Kai Sun; Longfei Li; Bo Li; Meiyun Wang; Jie Tian,2019,Theranostics,String A
40,Identification of a new mutant allele of ZmYSL2 that regulates kernel development and nutritional quality in maize,Yikai Wang; Xiao Zhang; Bowen Luo; Hongmei Hu; Haixu Zhong; Haiying Zhang; Zhicheng Zhang; Jiajia Gao; Dan Liu; Ling Wu; Shiqiang Gao; Duojiang Gao; Shibin Gao,2022,Molecular Breeding,String A
41,"Open-access bacterial population genomics: BIGSdb software, the PubMLST.org website and their applications",Keith A. Jolley; James E. Bray; Martin Maiden,2018,Wellcome Open Research,String A
42,Advances in oligonucleotide drug delivery,Thomas C. Roberts; Róbert Langer; Matthew J. A. Wood,2020,Nature Reviews Drug Discovery,String A
43,Glioblastoma in adults: a Society for Neuro-Oncology (SNO) and European Society of Neuro-Oncology (EANO) consensus review on current management and future directions,Patrick Y. Wen; Michael Weller; Eudocia Q. Lee; Brian M. Alexander; Jill S. Barnholtz‐Sloan; Floris P Barthel; Tracy T. Batchelor; Ranjit S. Bindra; Susan M. Chang; E. Antonio Chiocca; Timothy F. Cloughesy; John DeGroot; Evanthia Galanis; Mark R. Gilbert; Monika E. Hegi; Craig Horbinski; Raymond Y. Huang; Andrew B. Lassman; Émilie Le Rhun; Michael Lim; Minesh P. Mehta; Ingo K. Mellinghoff; Giuseppe Minniti; David A. Nathanson; Michael Platten; Matthias Preusser; Patrick Roth; Marc Sanson; David Schiff; Susan Short; Martin Taphoorn; Joerg-Christian Tonn; Jonathan Tsang; Roel G.W. Verhaak; Andreas von Deimling; Wolfgang Wick; Gelareh Zadeh; David A. Reardon; Kenneth Aldape; Martin J. van den Bent,2020,Neuro-Oncology,String A
44,Biocatalysis,Elizabeth L. Bell; William Finnigan; Scott P. France; Anthony P. Green; Martin A. Hayes; Lorna J. Hepworth; Sarah L. Lovelock; Haruka Niikura; Sílvia Osuna; Elvira Romero; Katherine S. Ryan; Nicholas J. Turner; Sabine L. Flitsch,2021,Nature Reviews Methods Primers,String A
45,CAMUS: Context-Aware Neural Mutation Selection,Mingda Chen; Bo Wang; Youfang Lin; Jie M. Zhang,2025,,String A
46,A macromutation eliminates colour patterning in captive butterflies,Joseph J. Hanly; Luca Livraghi; Christa Heryanto; W. Owen McMillan; Chris D. Jiggins; Lawrence E. Gilbert; Arnaud Martin,2021,bioRxiv (Cold Spring Harbor Laboratory),String A
47,Comprehensive review of targeted therapy for colorectal cancer,Yuanhong Xie; Yingxuan Chen; Jing‐Yuan Fang,2020,Signal Transduction and Targeted Therapy,String A
48,"Targeting p53 pathways: mechanisms, structures and advances in therapy",Haolan Wang; Ming Guo; Hudie Wei; Yongheng Chen,2023,Signal Transduction and Targeted Therapy,String A
49,Exploring treatment options in cancer: tumor treatment strategies,Beilei Liu; Hongyu Zhou; Licheng Tan; Kin To Hugo Siu; Xin‐Yuan Guan,2024,Signal Transduction and Targeted Therapy,String A
50,<i>OsGRF1</i> and <i>OsGRF2</i> play unequal redundant roles in regulating leaf vascular bundle formation,Ruihan Xu; Jianyu An; Jiali Song; Tiantian Yan; Jieru Li; Xuebin Zhao; Xian Shi; Yayi Meng; Chenyu Rong; Ganghua Li; Chengqiang Ding; Chengqiang Ding,2025,Journal of Experimental Botany,String A
51,Ferroptosis: mechanisms and links with diseases,Hong-Fa Yan; Ting Zou; Qing‐zhang Tuo; Shuo Xu; Hua Li; Abdel Ali Belaidi; Peng Lei,2021,Signal Transduction and Targeted Therapy,String A
52,The biological and clinical significance of emerging SARS-CoV-2 variants,Kaiming Tao; Philip L. Tzou; Janin Nouhin; Ravindra K. Gupta; Túlio de Oliveira; Sergei L. Kosakovsky Pond; Daniela Fera; Robert W. Shafer,2021,Nature Reviews Genetics,String A
53,A drought‐responsive rice amidohydrolase is the elusive plant guanine deaminase with the potential to modulate the epigenome,Dhananjay Gotarkar; Toshisangba Longkumer; Naoki Yamamoto; Amrit K. Nanda; Tamara Iglesias; Linfeng Li; Berta Miró; Elisa Blanco González; María Montes‐Bayón; Kenneth M. Olsen; Yue‐Ie Hsing; Ajay Kohli,2021,Physiologia Plantarum,String A
54,The ChEMBL Database in 2023: a drug discovery platform spanning multiple bioactivity data types and time periods,Barbara Zdrazil; Eloy Félix; Fiona Hunter; Emma J. Manners; James Blackshaw; Sybilla Corbett; Marleen De Veij; Harris Ioannidis; David Méndez; Juan F Mosquera; María Paula Magariños; Nicolas Bosc; Ricardo Arcila; Tevfik Kizilören; Anna Gaulton; A. Patrícia Bento; Melissa F. Adasme; Peter Monecke; Gregory A. Landrum; Andrew R. Leach,2023,Nucleic Acids Research,String A
55,De novo domestication of wild tomato using genome editing,Agustín Zsögön; Tomáš Čermák; Emmanuel Rezende Naves; Marcela Morato Notini; Kai H. Edel; Stefan Weinl; Luciano Freschi; Daniel F. Voytas; Jörg Kudla; Lázaro Eustáquio Pereira Peres,2018,Nature Biotechnology,String A
56,Viral vector platforms within the gene therapy landscape,Jote Bulcha; Yi Wang; Hong Ma; Phillip W.L. Tai; Guangping Gao,2021,Signal Transduction and Targeted Therapy,String A
57,Pan-cancer integrative histology-genomic analysis via multimodal deep learning,Richard J. Chen; Ming Y. Lu; Drew F. K. Williamson; Tiffany Chen; Jana Lipková; Zahra Noor; Muhammad Shaban; Maha Shady; Mane Williams; Bumjin Joo; Faisal Mahmood,2022,Cancer Cell,String A
58,"Biomarkers in Lung Cancer Screening: Achievements, Promises, and Challenges",Luis Seijó; Nir Peled; Daniel Ajona; Mattia Boeri; John K. Field; Gabriella Sozzi; Rubén Pı́o; Javier J. Zulueta; Avrum Spira; Pierre P. Massion; Peter J. Mazzone; Luis M. Montuenga,2018,Journal of Thoracic Oncology,String A
59,Molecular profiling for precision cancer therapies,Eoghan Ruadh Malone; Marc Oliva; Peter Sabatini; Tracy Stockley; Lillian L. Siu,2020,Genome Medicine,String A
60,AlphaFold2 and its applications in the fields of biology and medicine,Zhenyu Yang; Xiaoxi Zeng; Yi Zhao; Runsheng Chen,2023,Signal Transduction and Targeted Therapy,String A
61,"The mutation of ent-kaurenoic acid oxidase, a key enzyme involved in gibberellin biosynthesis, confers a dwarf phenotype to cucumber",Mengru Zhang; Mengfei Song; Feng Cheng; Xiaoxu Han; Chunyan Cheng; Xiaqing Yu; Jinfeng Chen; Qunfeng Lou,2024,Theoretical and Applied Genetics,String A
62,Targeting HER2-positive breast cancer: advances and future directions,Sandra M. Swain; Mythili Shastry; Erika Hamilton,2022,Nature Reviews Drug Discovery,String A
63,Breast cancer: pathogenesis and treatments,Xin Xiong; Lewei Zheng; Yu‐Qiang Ding; Yufei Chen; Yuwen Cai; Leiping Wang; Liang Huang; Cuicui Liu; Zhi‐Ming Shao; Ke‐Da Yu,2025,Signal Transduction and Targeted Therapy,String A
64,Advances in protein structure prediction and design,Brian Kuhlman; Philip Bradley,2019,Nature Reviews Molecular Cell Biology,String A
65,Emerging role of deep learning‐based artificial intelligence in tumor pathology,Yahui Jiang; Meng Yang; Shuhao Wang; Xiangchun Li; Yan Sun,2020,Cancer Communications,String A
66,A High-Throughput Cell-Free Enzyme Screening System Using Redox-Responsive Hydrogel Beads as Artificial Compartments,Taisei Koga; Yui Okawa; Tomoyuki Ito; Kensei Orita; Kosuke Minamihata; Mitsuo Umetsu; Noriho Kamiya,2025,ACS Synthetic Biology,String A
67,The next generation of evidence-based medicine,Vivek Subbiah,2023,Nature Medicine,String A
68,A structural biology community assessment of AlphaFold2 applications,Mehmet Akdel; Douglas E. V. Pires; Eduard Porta‐Pardo; Jürgen Jänes; Arthur O. Zalevsky; Bálint Mészáros; Patrick Bryant; Lydia L. Good; Roman A. Laskowski; Gabriele Pozzati; Aditi Shenoy; Wensi Zhu; Petras J. Kundrotas; Victoria Ruiz‐Serra; Carlos H. M. Rodrigues; Alistair S. Dunham; David F. Burke; Neera Borkakoti; Sameer Velankar; Adam Frost; J. Basquin; Kresten Lindorff‐Larsen; Alex Bateman; Andrey V. Kajava; Alfonso Valencia; Sergey Ovchinnikov; Janani Durairaj; David B. Ascher; Janet M. Thornton; Norman E. Davey; Amelie Stein; Arne Elofsson; Tristan I. Croll; Pedro Beltrão,2022,Nature Structural & Molecular Biology,String A
69,Tyrosine Kinase Inhibitors in Cancer: Breakthrough and Challenges of Targeted Therapy,Charles Pottier; Margaux Fresnais; Marie Gilon; Guy Jérusalem; Rémi Longuespée; Nor Eddine Sounni,2020,Cancers,String A
70,"Lung cancer immunotherapy: progress, pitfalls, and promises",Aritraa Lahiri; Avik Maji; Pravin D. Potdar; Navneet Singh; Purvish M. Parikh; Bharti Bisht; Anubhab Mukherjee; Manash K. Paul,2023,Molecular Cancer,String A
71,The Lancet Commission on prostate cancer: planning for the surge in cases,Nicholas D. James; Ian F. Tannock; James N’Dow; Felix Y. Feng; Silke Gillessen; Syed Adnan Ali; Blanca Trujillo; Bissan Al‐Lazikani; Gerhardt Attard; Freddie Bray; Éva Compérat; Rosalind A. Eeles; Omolara Fatiregun; Emily Grist; Susan Halabi; Áine Haran; Daniel Herchenhorn; Michael S. Hofman; Mohamed Jalloh; Stacy Loeb; Archie Macnair; Brandon A. Mahal; Larissa Mendes; Masood Moghul; Caroline M. Moore; Alicia K. Morgans; Michael J. Morris; Declan G. Murphy; Vedang Murthy; Paul L. Nguyen; Anwar R. Padhani; Charles Parker; Hannah Rush; Mark Sculpher; Howard R. Soule; Matthew R. Sydes; Derya Tilki; Nina Tunariu; Paul Villanti; Liping Xie,2024,The Lancet,String A
72,A fully automatic deep learning system for COVID-19 diagnostic and prognostic analysis,Shuo Wang; Yunfei Zha; Weimin Li; Qingxia Wu; Xiaohu Li; Meng Niu; Meiyun Wang; Xiaoming Qiu; Hongjun Li; Yu He; Wei Gong; Yan Bai; Li Li; Yongbei Zhu; Liusu Wang; Jie Tian,2020,European Respiratory Journal,String A
73,"Plant Secondary Metabolites as Defenses, Regulators, and Primary Metabolites: The Blurred Functional Trichotomy",Matthias Erb; Daniel J. Kliebenstein,2020,PLANT PHYSIOLOGY,String A
74,Deep-Learning Convolutional Neural Networks Accurately Classify Genetic Mutations in Gliomas,Peter Chang; Jack Grinband; Brent D. Weinberg; Michelle Bardis; M. Khy; G. Cadena; Min‐Ying Su; Soonmee Cha; Christopher G. Filippi; Daniela A. Bota; Pierre Baldi; Laila Poisson; Rajan Jain; Daniel Chow,2018,American Journal of Neuroradiology,String A
75,"Notch signaling pathway: architecture, disease, and therapeutics",Binghan Zhou; Wanling Lin; Yaling Long; Yunkai Yang; Huan Zhang; Kongming Wu; Qian Chu,2022,Signal Transduction and Targeted Therapy,String A
76,Deep Learning–Based Stratification of Gastric Cancer Patients from Hematoxylin and Eosin–Stained Whole Slide Images by Predicting Molecular Features for Immunotherapy Response,Zheng Wei; Xu Zhao; Jing Chen; Qiuyan Sun; Zeyang Wang; Yanli Wang; Zhiyi Ye; Yuan Yuan; Liping Sun; Jingjing Jing,2023,American Journal Of Pathology,String A
77,Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,Alexander Rives; Joshua Meier; Tom Sercu; Siddharth Goyal; Zeming Lin; Jason Liu; Demi Guo; Myle Ott; C. Lawrence Zitnick; Jerry Ma; Rob Fergus,2019,bioRxiv (Cold Spring Harbor Laboratory),String A
78,Meta-analysis of tumor- and T cell-intrinsic mechanisms of sensitization to checkpoint inhibition,Kevin Litchfield; James L. Reading; Clare Puttick; Krupa Thakkar; Chris Abbosh; Robert B. Bentham; Thomas B.K. Watkins; Rachel Rosenthal; Dhruva Biswas; Andrew Rowan; Emilia L. Lim; Maise Al Bakir; Virginia Turati; José Afonso Guerra‐Assunção; Lucía Conde; Andrew J.S. Furness; Sunil Kumar Saini; Sine Reker Hadrup; Javier Herrero; Se‐Hoon Lee; Peter Van Loo; Tariq Enver; James Larkin; Matthew D. Hellmann; Samra Turajlic; Sergio A. Quezada; Nicholas McGranahan; Charles Swanton,2021,Cell,String A
79,"Liquid biopsy: a step closer to transform diagnosis, prognosis and future of cancer treatments",Saife N. Lone; Sabah Nisar; Tariq Masoodi; Mayank Singh; Arshi Rizwan; Sheema Hashem; Wael El‐Rifai; Davide Bedognetti; Surinder K. Batra; Mohammad Haris; Ajaz A. Bhat; Muzafar A. Macha,2022,Molecular Cancer,String A
80,Mitochondria dysfunction in the pathogenesis of Alzheimer’s disease: recent advances,Wenzhang Wang; Fanpeng Zhao; Xiaopin Ma; George Perry; Xiongwei Zhu,2020,Molecular Neurodegeneration,String A
81,Full-length transcript characterization of SF3B1 mutation in chronic lymphocytic leukemia reveals downregulation of retained introns,Alison D. Tang; Cameron M. Soulette; Marijke J. van Baren; Kevyn L. Hart; Eva Hrabeta‐Robinson; Catherine J. Wu; Angela N. Brooks,2020,Nature Communications,String A
82,MODERN MOLECULAR-GENETIC APPROACH TO INCREASE EFFICIENCY OF SELECTION PROCESS IN ANIMAL BREEDING OF UKRAINE,O. I. Metlytska; K. Kopylov; А. V. Berezovsky,2018,Animal Breeding and Genetics,String A
83,Organoids,Zixuan Zhao; Xinyi Chen; Anna M. Dowbaj; Aleksandra Sljukic; Kaitlin M. Bratlie; Luda Lin; Eliza Li Shan Fong; Gowri Manohari Balachander; Zhaowei Chen; Alice Soragni; Meritxell Huch; Yi Arial Zeng; Qun Wang; Hanry Yu,2022,Nature Reviews Methods Primers,String A
84,"DNA damage repair: historical perspectives, mechanistic pathways and clinical translation for targeted cancer therapy",Ruixue Huang; Ping‐Kun Zhou,2021,Signal Transduction and Targeted Therapy,String A
85,"Amyloid β-based therapy for Alzheimer’s disease: challenges, successes and future",Yun Zhang; Huaqiu Chen; Ran Li; Keenan Sterling; Weihong Song,2023,Signal Transduction and Targeted Therapy,String A
86,Genome-scale investigation and identification of variations associated with early flowering based on whole genome resequencing and transcriptome integrated analysis in tree peony,Lili Guo; Yuying Li; Yang Lei; Jingshan Gao; Chengwei Song; Da‐Long Guo; Xiaogai Hou,2022,Scientia Horticulturae,String A
87,Endoplasmic reticulum stress: molecular mechanism and therapeutic targets,Xingyi Chen; Chaoran Shi; Meihui He; Siqi Xiong; Xiaobo Xia,2023,Signal Transduction and Targeted Therapy,String A
88,Exosomes as a new frontier of cancer liquid biopsy,Dan Yu; Yixin Li; Maoye Wang; Jianmei Gu; Wenrong Xu; Hui Cai; Xinjian Fang; Xu Zhang,2022,Molecular Cancer,String A
89,Common principles and best practices for engineering microbiomes,Christopher E. Lawson; William R. Harcombe; Roland Hatzenpichler; Stephen R. Lindemann; Frank E. Löffler; Michelle O’Malley; Héctor García Martín; Brian F. Pfleger; Lutgarde Raskin; Ophelia S. Venturelli; David G. Weissbrodt; Daniel R. Noguera; Katherine D. McMahon,2019,Nature Reviews Microbiology,String A
90,Local mutational diversity drives intratumoral immune heterogeneity in non-small cell lung cancer,Qingzhu Jia; Wei Wu; Yuqi Wang; Peter B. Alexander; Chengdu Sun; Zhihua Gong; Jia-Nan Cheng; Huaibo Sun; Yanfang Guan; Xuefeng Xia; Ling Yang; Xin Yi; Yisong Y. Wan; Haidong Wang; Ji He; P. Andrew Futreal; Qi-Jing Li; Bo Zhu,2018,Nature Communications,String A
91,A pathology foundation model for cancer diagnosis and prognosis prediction,Xiyue Wang; Junhan Zhao; Eliana Marostica; Wei Yuan; Jietian Jin; Jiayu Zhang; Ruijiang Li; Hongping Tang; Kanran Wang; Yu Li; Fang Wang; Yulong Peng; Junyou Zhu; Jing Zhang; Christopher Jackson; Jun Zhang; Deborah Dillon; Nancy U. Lin; Lynette M. Sholl; Thomas Denize; David M. Meredith; Keith L. Ligon; Sabina Signoretti; Shuji Ogino; Jeffrey A. Golden; MacLean P. Nasrallah; Xiao Han; Sen Yang; Kun‐Hsing Yu,2024,Nature,String A
92,The Amyloid-β Oligomer Hypothesis: Beginning of the Third Decade,Erika N. Cline; Maíra A. Bicca; Kirsten L. Viola; William L. Klein,2018,Journal of Alzheimer s Disease,String A
93,Pan-cancer image-based detection of clinically actionable genetic alterations,Jakob Nikolas Kather; Lara R. Heij; Heike I. Grabsch; Chiara Maria Lavinia Loeffler; Amelie Echle; Hannah Sophie Muti; Jeremias Krause; Jan Niehues; Kai Sommer; Peter Bankhead; Loes Kooreman; Jefree J. Schulte; Nicole A. Cipriani; Roman D. Buelow; Peter Boor; Nadina Ortiz‐Brüchle; Andrew M. Hanby; Valerie Speirs; Sara Kochanny; Akash Patnaik; Andrew Srisuwananukorn; Hermann Brenner; Michael Hoffmeister; Piet A. van den Brandt; Dirk Jäger; Christian Trautwein; Alexander T. Pearson; Tom Luedde,2020,Nature Cancer,String A
94,Microglia in neurodegenerative diseases: mechanism and potential therapeutic targets,Chao Gao; Jingwen Jiang; Yuyan Tan; Shengdi Chen,2023,Signal Transduction and Targeted Therapy,String A
